Category,Message,Message Traduit
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","ENINA ny fahafahana hahazo CASH! Manomboka amin'ny 100 ka hatramin'ny 20,000 pounds txt> CSH11 ary alefaso any amin'ny 87575. Vidiny 150p/andro, 6andro, 16+ TsandCs mihatra Reply HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","MAIKA! Nahazo ny maha-mpikambana MAIMAIM-POANA mandritra ny herinandro ianao amin'ny Jackpot Loka £100,000! Txt ny teny: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,Nitady teny mety aho mba hisaorana anao amin'ity fofonaina ity. Mampanantena aho fa tsy horaisiko ho tsinontsinona ny fanampianao ary hotanterahiko ny fampanantenako. Nahafinaritra sy fitahiana foana ianao.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,MANANA DATY AMIN'NY ALAHADY AMIN'NY WILL!!
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",XXXMobileMovieClub: Raha hampiasa ny trosanao dia kitiho ny rohy WAP amin'ny hafatra txt manaraka na tsindrio eto >> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
ham,Oh k...i'm watching here:),Oh k...mijery eto aho :)
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"Eh tadidinao ny fomba fanononana ny anarany... Eny, nataoko. Izy v maditra manao mandra-ko v lena."
ham,Fine if thats the way u feel. Thats the way its gota b,Tsara raha izay no tsapanao. Izany no fomba gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","Angleterre v Macedonia - aza adino ny tanjona / vaovaon'ny ekipa. Alefaso amin'ny 87077 ny ekipam-pirenenao, ohatra, ENGLAND amin'ny 87077 Andramo: WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,Is that seriously how you spell his name?,Tena izany ve ny fomba fanononanao ny anarany?
ham,I‘m going to try for 2 months ha ha only joking,Hanandrana 2 volana aho ha ha vazivazy fotsiny
ham,So ü pay first lar... Then when is da stock comin...,Ka ü mandoa aloha farany... Dia rahoviana no tonga ny stock...
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,Rehefa vita ny sakafo atoandro dia lasa midina aho. Ady 3 smth lor. Efa vita ny sakafo atoandro?
ham,Ffffffffff. Alright no way I can meet up with you sooner?,"Fffffffff. Eny ary, tsy afaka hihaona aminao aloha kokoa aho?"
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Nanery ny tenako hihinana tapa-kazo fotsiny. Tena tsy noana aho. Mampalahelo izany. Lasa manahy i Mark. Fantany fa marary aho rehefa mandà pizza. Tpt
ham,Lol your always so convincing.,Lol maharesy lahatra foana ianao.
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,Nahazo bus ve ianao? Endasina atody ve ianao ? Nanao dite ve ianao? Mihinana ny ambin'ny reninao ve ianao amin'ny sakafo hariva? Tsapanao ve ny Fitiavako?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","Miverina aho ary manangona ny fiara izahay izao, ampahafantariko anao raha misy toerana"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh. Asa. Tadidiko manjavozavo izany! Inona no tsapa? Tpt
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Andraso fa mbola tsy mazava daholo izany, tsy azonao antoka ve hoe maneso aho sa izany no tsy te hiara-mipetraka aminay."
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,"Eny, niditra tamin'ny 2 izy ary niala tsiny. Nilavo lefona izy ary nihetsika toy ny zaza simba izy ary tratran'izany. hatramin'ny 2! Tsy ho any anefa izahay! Tsy manao ratsy be loatra. Ianao?"
ham,K tell me anything about you.,K lazao ahy na inona na inona momba anao.
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,Noho ny tahotra sao ho torana amin'ny raharaha rehetra nataonao tao an-trano? Manàna kaopy haingana
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Misaotra anao tamin'ny famandrihanao Ringtone UK dia homena £5/volana ny findainao azafady hamafiso amin'ny famaliana ENY na TSIA. Raha mamaly TSIA ianao dia tsy ho voaloa
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Eny... Ok aho mody mijery ny ora dia msg ü indray... Xuhui dia hianatra amin'ny 2 mey koa fa amin'ny 8 ora ny fianarany
ham,"Oops, I'll let you know when my roommate's done","Oay, ampahafantariko anao rehefa vita ny mpiray efitra amiko"
ham,I see the letter B on my car,Hitako ny litera B amin'ny fiarako
ham,Anything lor... U decide...,Na inona na inona lor... Manapa-kevitra ianao...
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Salama! Nanao ahoana ianao ary nanao ahoana ny asabotsy? Nandefa SMS fotsiny aho mba hijery raha nanapa-kevitra ny hanao zavatra tomo ianao. Tsy hoe mitady hanasa ny tenako aho na inona!
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Tohizo ny watts azafady. Te hahazo antoka fotsiny aho. Mirary faran'ny herinandro mahafinaritra. Abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","hadinoko ve ny nilaza taminao ? Mila anao aho, mila anao, maniry anao aho ... Fa indrindra indrindra ... tiako ianao ry soavaly arabo mamy ... Mmmmmm ... Yummy"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = Niezaka niantso anao izahay hamerina ny valinteninao tamin'ny sms ho an'ny finday nokia + camcorder maimaim-poana. Azafady antsoy izao ny 08000930705 raha livraison rahampitso
ham,WHO ARE YOU SEEING?,IZA NO HITANANAO?
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,Mahafinaritra! Manantena aho fa tianao ny lehilahy nomena anao. <#> santimetatra aho...
ham,No calls..messages..missed calls,Tsy misy fiantsoana..hafatra..antso tsy hita
ham,Didn't you get hep b immunisation in nigeria.,Tsy nahazo vaksiny hep b ve ianao tany nizeria.
ham,"Fair enough, anything going on?","Tena marina, misy zavatra mitranga?"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Eny, manantena aho fa raha tsy afaka manao izany i tyler dia afaka manontany kely aho"
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,Tsy fantatrao hoe maditra aho. Tsy te ho any amin’ny hopitaly akory aho. Nolazaiko tamin'i Marka fa tsy malemy aho. Ny hopitaly dia natao ho an'ny marary malemy.
ham,What you thinked about me. First time you saw me in class.,Ny hevitrao momba ahy. Sambany ianao no nahita ahy tany am-pianarana.
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","Mazàna ny grama iray dia mandeha toy ny <#> , marani-tsaina kokoa ny antsasaky ny fahavalo ary mahazo grama faharoa iray manontolo ianao amin'ny <#>"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,K fyi x manana fiara rahampitso maraina fa midona amin'ny toerana misy anay anio alina
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","Oay. Tsy tsapako mihitsy fa menatra be ianao noho ny trano fonenanao. Noheveriko fa tianao ilay izy, satria nanao izay tsara vitako aho ary toa faly foana momba ny ""zohy"" ianao. Miala tsiny aho fa tsy nanao ary tsy manana zavatra hafa omena. Miala tsiny aho nanolotra. Miala tsiny aho fa tena nahamenatra ny efitranonao."
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS. ac Sptv: Ny New Jersey Devils sy ny Detroit Red Wings dia milalao Ice Hockey. Mety sa diso? Tapitra? Valio END SPTV
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,Fantatrao ve izay nataon'i Mallika Sherawat omaly? Fantaro izao @ <URL>
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","Arahabaina! Ny pasipaoro manokana momba ny sinema 1 taona ho an'ny 2 dia anao. antsoy ny 09061209465 izao! C Superman V, Matrix 3, Star Wars 3, sns daholo ny 4 MAIMAIMPOANA! bx420-ip4-5we. 150 hariva. Aza adino!"
ham,"Sorry, I'll call later in meeting.",Miala tsiny fa hiantso aho amin'ny fivoriana.
ham,Tell where you reached,Lazao hoe taiza ianao
ham,Yes..gauti and sehwag out of odi series.,Eny..gauti sy sehwag avy amin'ny andiany odi.
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Tsy maintsy maka burger $1 ho anao ianao rehefa mody. Tsy afaka mihetsika akory aho. Mamono ahy ny fanaintainana.
ham,Ha ha ha good joke. Girls are situation seekers.,Ha ha ha vazivazy tsara. Mpitady toe-javatra ny ankizivavy.
ham,Its a part of checking IQ,Ampahany amin'ny fanamarinana IQ izany
ham,"Sorry my roommates took forever, it ok if I come by now?","Miala tsiny fa naharitra mandrakizay ny mpiray efitra amiko, tsy maninona raha tonga aho izao?"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Ok lar i double check fa ilay mpanao volo dia efa nolazainy fa notapatapahina. Nilaza izy fa hanapaka mandra-pahitako tsara tarehy.
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","Amin'ny maha-mpanjifa sarobidy ahy, dia faly aho manoro hevitra anao fa aorian'ny famerenana vao haingana momba ny Mob No. ianao dia nomena Loka Bonus £1500, antsoy ny 09066364589"
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","Androany dia ""andro natokana ho an'ny hira.."" Inona no hira hatokanao ho ahy? Alefaso any amin'ireo namanao sarobidy rehetra ity fa valio aloha aho..."
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Urgent UR dia nanome fitsangatsanganana maimaim-poana tany EuroDisinc Trav, Aco&Entry41 Na £1000. Raha mangataka txt DIS amin'ny 87121 18+6*£1,50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","Nandre momba ny ""Barbie Divorce"" vaovao ve ianao? Miaraka amin'ny entan'i Ken rehetra izany!"
ham,I plane to give on this month end.,Mikasa ny hanome aho amin'ity faran'ny volana ity.
ham,Wah lucky man... Then can save money... Hee...,Wah tsara vintana ... Dia afaka mitahiry vola ... Hee ...
ham,Finished class where are you.,Vita ny kilasy aiza ianao.
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,SALAMO BABE ATO AN-TRANO IZAHAY TE HANAO ZAVATRA? XX
ham,K..k:)where are you?how did you performed?,K..k:)aiza ianao ?
ham,U can call me now...,Afaka miantso ahy ianao izao...
ham,I am waiting machan. Call me once you free.,Miandry machan aho. Antsoy aho rehefa afaka ianao.
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,Milay izany. Tompokolahy aho ary hitondra anao amim-pahamendrehana sy fanajana.
ham,I like you peoples very much:) but am very shy pa.,Tena tiako ianareo vahoaka :) fa tena saro-kenatra aho pa.
ham,Does not operate after  &lt;#&gt;  or what,Tsy miasa aorian'ny <#> na inona
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,Tsy mitovy ny eto. Mbola mitady asa. Ohatrinona ny vola azon'i Ta any.
ham,"Sorry, I'll call later",Miala tsiny fa hiantso aho rehefa avy eo
ham,K. Did you call me just now ah?,K. Vao avy niantso ahy ve ianao ah?
ham,Ok i am on the way to home hi hi,Ok eny an-dalana hody aho hi hi
ham,You will be in the place of that man,Ianao no ho eo amin'ny toeran'io lehilahy io
ham,Yup next stop.,Eny fijanonana manaraka.
ham,"I call you later, don't have network. If urgnt, sms me.","Miantso anao aho any aoriana, tsy manana tambajotra. Raha maika dia sms aho."
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,Tena rehefa mahazo anao ianao? Mbola mila tapakila 2 sy palitao iray hafa aho dia vita. Efa nampiasa ny multisko rehetra aho.
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"Eny, nanomboka nandefa fangatahana hanao izany aho saingy niverina ny fanaintainana ka niverina teo am-pandriana aho. Vola madinika roa ao amin'ny orinasa ihany koa. Mila vola amin'ny nitroko rehetra aho."
ham,I'm really not up to it still tonight babe,Tena mbola tsy tonga saina aho izao hariva izao
ham,"Ela kano.,il download, come wen ur free..","Ela kano., misintona, tongava maimaim-poana.."
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,"Eny, ataovy! Aza mijanona mihidy fa ho tratra ianao!"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,Miala tsiny fa maharary. Mety ve raha mihaona indray alina isika? Nandany ny tolakandro aho tao amin'ny tra-boina ary midika izany fa tsy mbola nanao na iray aza tamin'ireo zavatra 42moro aho ary tafiditra ao anatin'izany ny taratasim-potoanako rehetra sy izany. Miala tsiny.
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Mitsikia ao anatin'ny hafaliana Mitsikia ao anatin'ny fanaintainana Mitsikia rehefa mirotsaka toy ny orana Mitsikia rehefa mitsikitsiky rehefa sum1 Mankarary anao Tsiky fa misy olona mbola tia mahita anao mitsiky!!
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,"Azafady, antsoy ny solontenanay amin'ny serivisy mpanjifa amin'ny 0800 169 6031 eo anelanelan'ny 10 ora maraina ka hatramin'ny 9 ora alina satria nahazo vola azo antoka £1000 na loka £5000 ianao!"
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Havant mikasa hividy any aoriana. Tsikaritro fa efa nahazo seho 530 i lido tamin'ny tolakandro. Efa vitanao ve ny asa?
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","Miandry ny fanangonana ny ringtone maimaim-poana anao. Alefaso fotsiny ny tenimiafina ""MIX"" mankany amin'ny 85069 hanamarina. Alao i Usher sy Britney. FML, Boaty Paositra 5249, MK17 92H. 450Pw 16"
ham,Watching telugu movie..wat abt u?,Mijery sarimihetsika telugu.. ahoana ny aminao?
ham,i see. When we finish we have loads of loans to pay,Azoko. Rehefa vita isika dia manana fampindramam-bola be dia be tokony haloa
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""","Salama. Wk efa ok - on hols izao! Eny amin'ny hazakazaka kely. Adinoko fa manana fotoana hanao volo aho amin'ny efatra ka mila mody sy mandro mialoha. Mampisy olana aminao ve izany?"""
ham,I see a cup of coffee animation,Mahita sary mihetsika kafe iray aho
ham,Please don't text me anymore. I have nothing else to say.,Aza mandefa SMS intsony azafady. Tsy manana zavatra hafa holazaina aho.
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,Okay anarana ny vidiny raha mbola ara-dalàna! Rahoviana aho no afaka maka azy ireo? Y u ave x ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Mbola mitady fiara hividianana aho. Ary mbola tsy nanao andrana mitondra fiara.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Araka ny fangatahanao 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' dia napetraka ho antso an-tariby ho an'ny mpiantso rehetra. Tsindrio *9 raha handika ny namanao Callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","Oay. Marina ny anao! Tsy nikasa hanao izany aho. Heveriko fa rehefa nilaozan'ny lehilahy boston aho ary nanova ny toerana fitadiavako ho any nyc, dia nisy zavatra niova. Satria ao amin'ny pejiko sonia dia mbola misy ihany ny hoe boston."
ham,Umma my life and vava umma love you lot dear,Umma ny fiainako sy vava umma tena tia anao ry malala
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Misaotra betsaka tamin'ny fanirianao tamin'ny fitsingerenan'ny andro nahaterahana. Misaotra anao nanao ny fitsingerenan'ny andro nahaterahana ho tena tsy hay hadinoina.
ham,"Aight, I'll hit you up when I get some cash","Aight, hamely anao aho rehefa mahazo vola"
ham,How would my ip address test that considering my computer isn't a minecraft server,Ahoana no hanandrana ny adiresy ip-ko fa tsy mpizara minecraft ny solosainako
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,Fantatro! Antitra tezitra. Ny reniko dia toa anao fa aleo tsy mandainga. Dia izaho indray no manao vazivazy...
ham,Dont worry. I guess he's busy.,Aza manahy. Ataoko fa sahirana izy.
ham,What is the plural of the noun research?,Ploralin'ny anarana iombonana fikarohana
ham,Going for dinner.msg you after.,Mandeha misakafo. msg aminao avy eo.
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,Tsy maninona aho raha izany satria tiako ny manandrana zava-baovao. Natahotra anao anefa aho. Satria hoy ianao hoe tsy mafy loatra.
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT! Miezaka mifandray aminao izahay. Ny fisarihana ny faran'ny herinandro lasa teo dia mampiseho fa nahazo loka £1000 GARANTIE ianao. Antsoy ny 09064012160. Kaody fitakiana K52. 12 ora ihany no manankery. 150ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Wa, tena formal be ny fehezan-teny fanokafana anao... Na izany na tsy izany, salama koa aho, juz tt mihinana be loatra aho ary mametaka lanja...Haha... Nisy zavatra manokana nitranga ve?"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","Rehefa niditra tao amin'ny efitranoko aho dia niteny ny PA-ko hoe, '' Happy B'day Boss !!''. Nahatsiaro ho niavaka aho. Nanontany ahy 4 sakafo atoandro izy. Taorian'ny sakafo antoandro dia nanasa ahy ho any amin'ny tranony izy. Nandeha tany izahay."
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),Mpandresy ianao Nofantenana manokana 2 mahazo £1000 na fialantsasatra 4* (flights inc) miresaka amin'ny mpandraharaha mivantana 2 mitaky 0871277810910p/min (18+)
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,"Goodo! Eny, tsy maintsy miteny zoma isika - ny tahan'ny atody-ovy ho an'ny tortilla ilaina!"
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,Hmm...vao nampahafantatra ahy ny dadatoako fa mandoa vola mivantana ny sekoly izy. Koa mividiana sakafo azafady.
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,PRIVATE! Ny kaontinao 2004 ho an'ny 07742676969 dia mampiseho 786 bonus tsy voavotra. Raha mangataka antsoy ny 08719180248 Kaody famantarana: 45239 lany daty
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","MAIKA! Ny laharana finday dia nomena £2000 Bonus Caller Prize tamin'ny 5/9/03 Ity no andrana farany mifandray amin'i U! Antsoy avy amin'ny Landline 09064019788 BOX42WR29C, 150PPM"
ham,here is my new address -apples&pairs&all that malarky,Ity ny adiresiko vaovao - paoma& tsiroaroa&izay malarky rehetra
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,Ny isa Voda androany mifarana amin'ny 7548 dia voafantina hahazo loka $350. Raha manana lalao ianao dia antsoy ny 08712300220 amin'ny alàlan'ny kaody fitakiana 4041 app sarany mahazatra
ham,I am going to sao mu today. Will be done only at 12,Handeha sao mu aho anio. Amin'ny 12 ora ihany no hatao
ham,Ü predict wat time ü'll finish buying?,ü maminavina amin'ny ora inona no hahavitan'ny fividianana?
ham,"Good stuff, will do.","Zavatra tsara, azo atao."
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Mba ho fantatrao fa mbola tsy nandefa vola i yetunde. Nandefa SMS fotsiny aho mba tsy hanelingelina ny fandefasana azy. Noho izany dia tapitra izany, tsy mila miditra amin'ny zavatra rehetra ianao. Tsy tokony ho nametraka na inona na inona taminao aho tamin'ny voalohany ka noho izany dia miala tsiny aho."
ham,Are you there in room.,Ao amin'ny efitrano ve ianao.
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,HEY GIRL. AHOANA ENAO? MANANTENA HO TSARA AHO AN DEL R BAK! EFA EFA TSY MISY C! OMEO ANTSO AHY AVY AVY AVY AVY AVY I LUCYxx
ham,K..k:)how much does it cost?,K..k:)ohatrinona ny vidiny?
ham,I'm home.,Ato an-trano aho.
ham,"Dear, will call Tmorrow.pls accomodate.","Ry malala, hiantso rahampitso. azafady."
ham,First answer my question.,Valio aloha ny fanontaniako.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,Sunshine Quiz Wkly Q! Mandresy mpilalao DVD Sony ambony raha fantatrao hoe aiza no misy an'i Algarve? Txt ansr amin'ny 82277. £1.50 SP:Tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,Te hanao firaisana 2 anio alina? Tianao ve ny toerana tena Dogging alefa mivantana amin'ny vahoaka 2? Midira amin'ny tambajotra Dogging lehibe indrindra any UK bt Txting GRAVEL amin'ny 69888! Nt. ec2a. 31p.msg@150p
ham,I only haf msn. It's yijue@hotmail.com,msn ihany aho. yijue@hotmail.com izany
ham,He is there. You call and meet him,Ao izy. Miantso ianao dia mihaona aminy
ham,No no. I will check all rooms befor activities,Tsia tsia. Hojereko ny efitrano rehetra alohan'ny hanaovana hetsika
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,Tsy handray hafatra avy amin'ny chat svc ianao. Ho an'ny serivisy Hardcore MAIMAIMPOANA dia mandehana mankany amin'ny: 69988 Raha tsy mahazo na inona na inona ianao dia tsy maintsy manamarina ny taona amin'ny tambajotranao ary andramo indray
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,Nahazo c... kamo mitendry... adinoko ü in lect... Nahita paosy fa toy ny tsy v tsara...
ham,"K, text me when you're on the way","K, andefaso hafatra aho rehefa eny an-dalana ianao"
ham,"Sir, Waiting for your mail.","Tompoko, miandry ny mailakao."
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8","Fieritreretana mamy: ""Aza sasatra manao zavatra kely 4 lovable persons.."" Cuz..indraindray ireo zavatra kely ireo no mitana anjara lehibe indrindra ao am-pony.. Gud ni8"
